Risk Title,Risk Desc,Category,Risk Type,Risk Subtype,Severity,Likelihood,Impact,Mitigation Plan,Contingency Plan,Mitigation Status,Risk Org Impact Strategy
"Deployment getting pushed to July.","Context: 'Export to Excel' feature got delayed due to access issues that SCAN had to review/approve. And UAT testing timelines got extended as well.
Condition: Deployment date getting pushed by a few weeks (deviating from our initial plan)
Consequence: With all the development work completed (except for the download-excel feature), team may have to be retained until deployment and signoff. The team will continue on the new SOW that will get approved for the maintenance/support work. Project-Level          Technical           Connectivity and access      Moderate    Possible      High","Part of the team can be repurposed for upcoming opportunity within SCAN while we continue to support till deployment with remaining team members. This support team will continue on the new SOW that will get approved for the maintenance/support work. Part of the team can be repurposed for upcoming opportunity within SCAN while we continue to support till deployment with remaining team members. This support team will continue on the new SOW that will get approved for the maintenance/support work.",Assessed,Margin Impact   Accept
"1 open PMO role need to be filled-2","1 resource raised the Resignation and need to find a replacement. Project-Level     Organizational                         Resources         Major    Possible      High","Working with HR team to fill the open role.",,Identified,Client Relationship Mitigate
"1 open PMO role need to be filled-3
","Identified resource Shashank was put On-Hold by client earlier. After discussing with Client  shashank is reconsidered Project-Level     Organizational                         Resources         Major    Possible      High","Received the Citi onboarding approval for Shashank from Karen on 28-Mar-23. Shashank Citi BGV already completed. Offshore & Onshore operations teams need to modify the dates in all BGV completion documents & share it to Lynn ASAP to raise the request in Field Glass tool to get a Citi access. ETA to get all access is 06-Apr-23.

Sravani rolled off from the project
",,Resolved,Financial Impact Mitigate
"Delay in Onboarding the resource & Citi access","Shashank Zope identified as a replacement for Tasvinder. He joined Ascendion on 23-Feb-2023. Citi BGV completed on 13-Feb-2023 but operations team not shared final BGV documents to Lynn. Project-Level     Organizational                         Resources         Major    Possible      High","Working with BGV Team to speed up the process. Shashanks Citi access request will be initiated once all the BGV completion and other necessary documents uploaded in Citi Field Glass tool.",,Resolved,Financial Impact Mitigate
"Need Replacement","1) Client shared the feedback about 1 PMO resource that he has performance issue & not showed proactiveness in completion of the tasks. And wants to roll off the resource ASAP.
2) Client wants to replace the PMO role with DevOps role but shared JD is more like a Project Management without any specific DevOps details. Project-Level     Organizational                         Resources         Major    Possible      High","1)Discussed with Client on 06/23 and got a confirmation to roll off the PMO resource on 07/03. 2)Sent a mail to Client on 06/26 and requested for their convenient date & time to discuss about this DevOps role. And no response received yet.

Role was cancelled by the client
",,Resolved,Financial Impact Mitigate
"Shyamleshwar has no Collabera or Ascendion access/account","We have a candidate who is working for Citi (Shyamaleswar Jaiswal). He started on 10th May 2022 with Collabera. However, he was not ported over to Ascendion when we moved accounts over to Ascendion. He does not have a Collabera email id or employee number. However, he has been billed from the beginning.

We will need to move him over to Ascendion and regularize his employee status.  Project-Level     Organizational Processes within the organization        Severe    Unlikely      High","Already highlighted this issue to Jayanth & HR and they working on this and trying to get a necessary approval (to convert him as a AEPL resource)

He is going to continue in Collabera since the Citi - DA project is with Collabera.",,Resolved,Margin Impact Transfer
